CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245911;;LARGHETTO SCAVELLO;;2;;;
M208;079160;1245992;;LARGHETTO TREMPA;;15;;;
M208;079160;1245002;;LARGO ANGOTTI;;5;;;
M208;079160;1245048;;LARGO BELVEDERE;;3;;;
M208;079160;1245108;;LARGO CAPORALE;;9;;;
M208;079160;1245188;;LARGO COSTANZO;;7;;;
M208;079160;1245206;;LARGO DAMIANO STATTI;;8;;;
M208;079160;1245210;;LARGO DANO;;8;;;
M208;079160;1245239;;LARGO DEI NORMANNI;;6;;;
M208;079160;1245247;;LARGO DEL GESU';;9;;;
M208;079160;1245296;;LARGO ENRICO VANONI;;3;;;
M208;079160;1246257;;LARGO EZIO VANONI;;7;;;
M208;079160;1245373;;LARGO GALLO;;4;;;
M208;079160;1245392;;LARGO GIARDINETTI;;9;;;
M208;079160;1245451;;LARGO GREGORACI;;6;;;
M208;079160;1245457;;LARGO GUALTIERI;;0;;;
M208;079160;1245536;;LARGO INDIPENDENZA;;0;;;
M208;079160;1245603;;LARGO MANCUSO;;6;;;
M208;079160;1245636;;LARGO MERCURIO;;6;;;
M208;079160;1246104;;LARGO MONSIGNOR PIETRO BONACCI;;0;;;
M208;079160;1245688;;LARGO NETTUNO;;6;;;
M208;079160;1245839;;LARGO SAN FRANCESCO;;20;;;
M208;079160;1245872;;LARGO SANTA CATERINA;;1;;;
M208;079160;1245879;;LARGO SANTA MARIA;;1;;;
M208;079160;1245864;;LARGO SANTO TEODORO;;3;;;
M208;079160;1245909;;LARGO SCARAMUZZINO;;24;;;
M208;079160;1245919;;LARGO SCORPIONE;;4;;;
M208;079160;1245931;;LARGO SILA;;1;;;
M208;079160;1245949;;LARGO STELLA;;5;;;
M208;079160;1245953;;LARGO STRANO;;3;;;
M208;079160;1245979;;LARGO TORRE;;3;;;
M208;079160;1246031;;LARGO VERITA';;5;;;
M208;079160;1246085;;LOCALITA' AGLIOCA;;2;;;
M208;079160;1246228;;LOCALITA' ARICELLA;;0;;;
M208;079160;1245039;;LOCALITA' BARONELLO;;0;;;
M208;079160;1245045;;LOCALITA' BELLAFEMMINA;;166;;;
M208;079160;1246261;;LOCALITA' BIVIO BAGNI;;1;;;
M208;079160;1246210;;LOCALITA' BUFALO;;0;;;
M208;079160;1245080;;LOCALITA' CAFARELLO;;5;;;
M208;079160;1245095;;LOCALITA' CAMPOLONGO;;1;;;
M208;079160;1245099;;LOCALITA' CANNISTRARO;SAMBIASE;0;;;
M208;079160;1245110;;LOCALITA' CARBONARA;;2;;;
M208;079160;1245133;;LOCALITA' CARRELLO;;10;;;
M208;079160;1246254;;LOCALITA' CASE MENDICINO;;3;;;
M208;079160;1245151;;LOCALITA' CERAMIDIO;;3;;;
M208;079160;1246168;;LOCALITA' CERASIA;;4;;;
M208;079160;1245154;;LOCALITA' CERESIA;;0;;;
M208;079160;1245173;;LOCALITA' CONCA;;0;;;
M208;079160;1245203;;LOCALITA' CUTURA;;0;;;
M208;079160;1246218;;LOCALITA' ELEMOSINA;;0;;;
M208;079160;1245304;;LOCALITA' FABIANO;;0;;;
M208;079160;1245306;;LOCALITA' FABRIZIA;;0;;;
M208;079160;1245308;;LOCALITA' FARRA;;0;;;
M208;079160;1245318;;LOCALITA' FEUDO NICOTERA;;0;;;
M208;079160;1246166;;LOCALITA' FICARELLE;;0;;;
M208;079160;1245354;;LOCALITA' FRASSO;;0;;;
M208;079160;1245366;;LOCALITA' GABELLA NICOTERA;;12;;;
M208;079160;1245382;;LOCALITA' GATTOIA;;0;;;
M208;079160;1245393;;LOCALITA' GIARDINO DI RENDA;;2;;;
M208;079160;1245395;;LOCALITA' GINEPRI;;1;;;
M208;079160;1245610;;LOCALITA' MARGI;;0;;;
M208;079160;1245611;;LOCALITA' MARINA DI MAIDA;;0;;;
M208;079160;1245612;;LOCALITA' MARINELLA;;12;;;
M208;079160;1245622;;LOCALITA' MARUCA;;0;;;
M208;079160;1245653;;LOCALITA' MONACI;;0;;;
M208;079160;1245681;;LOCALITA' MUCATA;;0;;;
M208;079160;1246294;;LOCALITA' MURA DI GRASSO;;0;;;
M208;079160;1245705;;LOCALITA' OPPOLESE;;16;;;
M208;079160;1245729;;LOCALITA' PARADISO;;71;;;
M208;079160;1245736;;LOCALITA' PERSICARA;;7;;;
M208;079160;1245763;;LOCALITA' PITIZZANNI;;9;;;
M208;079160;1245180;;LOCALITA' PONTE BAGNI;;1;;;
M208;079160;1245776;;LOCALITA' PRIANO;;2;;;
M208;079160;1245785;;LOCALITA' PULLO;;0;;;
M208;079160;1245786;;LOCALITA' QUADRATI;;0;;;
M208;079160;1245802;;LOCALITA' RISI;;13;;;
M208;079160;1245934;;LOCALITA' SAN MINA' INFERIORE;;23;;;
M208;079160;1245852;;LOCALITA' SAN MINA' SUPERIORE;;44;;;
M208;079160;1245855;;LOCALITA' SAN NICOLA FIALA';;0;;;
M208;079160;1245856;;LOCALITA' SAN PIETRO;;0;;;
M208;079160;1245876;;LOCALITA' SANTA DOMENICA;;2;;;
M208;079160;1245888;;LOCALITA' SANT'ANTONIO;;0;;;
M208;079160;1245906;;LOCALITA' SCAFFA;;0;;;
M208;079160;1246175;;LOCALITA' SCAFFO;;0;;;
M208;079160;1245915;;LOCALITA' SCIALA';;0;;;
M208;079160;1245964;;LOCALITA' TERRAVECCHIA;;2;;;
M208;079160;1246001;;LOCALITA' TRIGNA;;0;;;
M208;079160;1246010;;LOCALITA' UMBRI;;0;;;
M208;079160;1246017;;LOCALITA' VACCARIZZO;;1;;;
M208;079160;1246019;;LOCALITA' VACCARO;;3;;;
M208;079160;1246022;;LOCALITA' VARRA;;0;;;
M208;079160;1246051;;LOCALITA' VISCARDI;;0;;;
M208;079160;1246220;;LOCALITA' VRUCA;;0;;;
M208;079160;1245049;;PIAZZA BENEDETTO CROCE;;0;;;
M208;079160;1245064;;PIAZZA BOTTICELLI;;0;;;
M208;079160;1245065;;PIAZZA CARLO BOVIO;;11;;;
M208;079160;1245120;;PIAZZA CARMINE;;0;;;
M208;079160;1245181;;PIAZZA CONTE MICHELANGELO;SAN PIETRO LAMETINO;3;;;
M208;079160;1245212;;PIAZZA D'ARMI;;0;;;
M208;079160;1245257;;PIAZZA DELLA REPUBBLICA;;11;;;
M208;079160;1246190;;PIAZZA DON PASQUALE CAPUTO;;0;;;
M208;079160;1245370;;PIAZZA ELVIDIO BORELLI;;0;;;
