review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,recommended_candidate_source,review_candidate_lon,review_candidate_lat,recommended_review_track,decision_readiness,evidence_agreement,local_candidate_method,local_candidate_confidence,local_distance_from_source_m,geocode_provider_confidence,geocode_distance_from_source_m,local_geocode_distance_m,reviewer_action,reviewer_lon,reviewer_lat,coordinate_decision_confidence,reviewed_by,review_date,coordinate_reason,reviewer_notes,audit_expected_status
29,3517116,CONTRADA CARRA' VOLPE,68,1,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3277774,38.9478703,local_anncsu_anchor,16.2414247,38.9856835,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,8568.2,,,,,,,,,,,,not_reviewed
30,3528451,VIA INGEGNERE GIUSEPPE D'AUDINO,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2566513,38.919359,local_anncsu_anchor,16.3072167,38.972798,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,7377.8,,,,,,,,,,,,not_reviewed
31,3517041,LOCALITA' CAFARELLO,6,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3183384,38.9746517,local_anncsu_anchor,16.2731411,38.9931342,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4414.2,,,,,,,,,,,,not_reviewed
32,3531928,VIA DEL PROGRESSO,533,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.280143,38.9615629,local_anncsu_anchor,16.3310609,38.947558,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4670.2,,,,,,,,,,,,not_reviewed
33,3522438,VIA GIOACCHINO MURAT,111,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.3244874,38.9456708,local_anncsu_anchor,16.3233014,38.9445329,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,162.9,,,,,,,,,,,,not_reviewed
34,3512013,VIA AURELIO CASSIODORO,14,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.3377493,38.9505043,local_anncsu_anchor,16.3063225,38.9533279,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,2735.7,,,,,,,,,,,,not_reviewed
35,3528313,CONTRADA BUCOLIA DI SOTTO,20,A,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.251427,39.004828,local_anncsu_anchor,16.2897128,38.9885369,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3772.1,,,,,,,,,,,,not_reviewed
36,3527325,CONTRADA ACQUADAUZANO,375,,needs_manual_coordinate_review,suspect_coordinate_present_in_original_anncsu_raw,16.3049541,38.9870505,local_anncsu_anchor,16.305187,38.9865702,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,57.1,,,,,,,,,,,,not_reviewed
37,3526015,CONTRADA ANNUNZIATA,105,,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,16.3030348,38.9905196,local_anncsu_anchor,16.3007554,38.9827821,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,882.6,,,,,,,,,,,,not_reviewed
38,3514824,CONTRADA AGLI,18,,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,16.3030348,38.9905196,local_anncsu_anchor,16.3454583,38.9755658,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,4026.3,,,,,,,,,,,,not_reviewed
