access_id,odonimo_raw,civico,esponente,coord_x,coord_y,nearest_candidate_section,distance_to_candidate_boundary_m,problem_type,suggested_review_action,notes
3511565,VIA CAVALLERIZZA,8,,16.2916933,38.9387338,57,30.993,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511566,VIA CAVALLERIZZA,9,,16.291597,38.9381562,62,14.065,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511568,VIA CAVOUR,13,,16.3143511,38.9578915,73,30.322,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511569,VIA CAVOUR,15,,16.280271,38.9690659,69,0.686,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511570,VIA CAVOUR,17,,16.3148191,38.9572575,39,11.448,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511571,VIA CAVOUR,23,,16.3143689,38.9563312,72,32.762,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511572,VIA CAVOUR,25,,16.3150221,38.9559695,72,96.951,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511573,VIA CAVOUR,3,,16.2883314,38.9370753,22,31.865,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511574,VIA CAVOUR,4,,16.2898283,38.9363645,62,0.87,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511577,VIA CAVOUR,5,,16.3140455,38.9579432,73,3.687,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511579,VIA CAVOUR,51,,16.3149873,38.95324,73,48.095,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511581,VIA CAVOUR,57,,16.3155766,38.9530038,73,2.802,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511582,VIA CAVOUR,58,,16.3152235,38.9528829,73,27.887,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511583,VIA CAVOUR,6,,16.314117,38.9577223,73,10.609,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511584,VIA CAVOUR,7,,16.3143399,38.9581988,39,23.232,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511585,VIA CAVOUR,8,,16.3149257,38.9581983,73,13.046,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511586,VIA CAVOUR,9,,16.2803685,38.9690527,34,6.454,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511587,VIA CAVOUR,1,,16.2905889,38.9371106,62,22.52,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511589,VIA CAVOUR,106,,16.3146777,38.9528838,22,33.105,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511590,VIA CAVOUR,11,,16.314363,38.9578199,73,31.592,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511591,VIA CAVOUR,16,,16.2804957,38.9690821,17,7.101,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511592,VIA CAVOUR,24,,16.3147367,38.9570296,39,18.991,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511593,VIA CAVOUR,27,,16.2802286,38.9690527,34,2.346,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511594,VIA CAVOUR,31,,16.2799282,38.9689983,69,11.007,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511598,VIA CAVOUR,70,,16.2792697,38.9690991,34,13.322,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511599,VIA CAVOUR,75,,16.2788677,38.9689728,34,11.616,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511601,VIA CAVOUR,88,,16.3149017,38.9528693,73,49.358,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511603,VIA CAVOUR,99,,16.3148195,38.9528415,22,41.628,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511610,VIA SAN GIOVANNI,10,,16.3207378,38.9754932,42,19.544,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511611,VIA SAN GIOVANNI,12,,16.3206546,38.974869,42,1.92,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511612,VIA SAN GIOVANNI,13,,16.3206429,38.9755942,8,11.197,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511613,VIA SAN GIOVANNI,19,,16.32097,38.9750529,42,26.154,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511614,VIA SAN GIOVANNI,20,,16.3205928,38.9749032,70,1.848,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511615,VIA SAN GIOVANNI,27,,16.3205747,38.9748322,6,1.144,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511616,VIA SAN GIOVANNI,29,,16.3207415,38.9750991,6,12.098,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511617,VIA SAN GIOVANNI,3,,16.3209054,38.9754842,42,19.018,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511618,VIA SAN GIOVANNI,31,,16.3206154,38.9748764,42,0.59,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511619,VIA SAN GIOVANNI,33,,16.3207201,38.974944,6,2.33,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511620,VIA SAN GIOVANNI,36,,16.3206825,38.9758448,8,13.612,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511621,VIA SAN GIOVANNI,37,,16.3206644,38.975973,8,15.537,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511622,VIA SAN GIOVANNI,39,,16.3205748,38.974955,6,0.418,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511624,VIA SAN GIOVANNI,43,,16.3205627,38.9748655,6,0.244,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511625,VIA SAN GIOVANNI,7,,16.3211837,38.975849,8,17.225,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511626,VIA SAN GIOVANNI,8,,16.3208776,38.9757304,8,7.528,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511627,VIA SAVERIO D'IPPOLITO,1,,16.3024645,38.9574341,61,28.624,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511628,VIA SAVERIO D'IPPOLITO,10,,16.3036784,38.9578607,58,22.701,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511629,VIA SAVERIO D'IPPOLITO,12,,16.303884,38.9581434,58,47.19,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511630,VIA SAVERIO D'IPPOLITO,14,,16.3037973,38.9583876,58,59.192,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
