review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,recovery_action,source_lon,source_lat,local_candidate_status,local_candidate_method,local_candidate_confidence,local_candidate_lon,local_candidate_lat,local_distance_from_source_m,local_anchor_count,local_candidate_explanation,geocode_candidate_status,geocode_provider,geocode_provider_confidence,geocode_query_variant,geocode_candidate_has_house_number,geocode_lon,geocode_lat,geocode_distance_from_source_m,geocode_display_name,local_geocode_distance_m,evidence_agreement,recommended_review_track,recommended_candidate_source,review_candidate_lon,review_candidate_lat,decision_readiness,suggested_workbench_filter,reviewer_instruction,notes
29,3517116,CONTRADA CARRA' VOLPE,68,1,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3277774,38.9478703,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2414247,38.9856835,8568.2,5,2 same-street anchor(s) share civic number 68.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2414247,38.9856835,manual_review_ready,access_id:3517116,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
30,3528451,VIA INGEGNERE GIUSEPPE D'AUDINO,1,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2566513,38.919359,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3072167,38.972798,7377.8,4,1 same-street anchor(s) share civic number 1.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3072167,38.972798,manual_review_ready,access_id:3528451,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
31,3517041,LOCALITA' CAFARELLO,6,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3183384,38.9746517,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2731411,38.9931342,4414.2,3,1 same-street anchor(s) share civic number 6.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2731411,38.9931342,manual_review_ready,access_id:3517041,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
32,3531928,VIA DEL PROGRESSO,533,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.280143,38.9615629,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3310609,38.947558,4670.2,499,1 same-street anchor(s) share civic number 533.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3310609,38.947558,manual_review_ready,access_id:3531928,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
33,3522438,VIA GIOACCHINO MURAT,111,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3244874,38.9456708,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3233014,38.9445329,162.9,125,1 same-street anchor(s) share civic number 111.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3233014,38.9445329,manual_review_ready,access_id:3522438,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
34,3512013,VIA AURELIO CASSIODORO,14,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3377493,38.9505043,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3063225,38.9533279,2735.7,42,1 same-street anchor(s) share civic number 14.,candidate_requires_human_review,nominatim,low_street_level,exact_civic,false,16.3327865,38.9490855,457.2,"Via Aurelio Cassiodoro, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",2336.6,local_geocoder_conflict_over_500m,review_medium_local_anchor,local_anncsu_anchor,16.3063225,38.9533279,manual_review_ready,access_id:3512013,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
35,3528313,CONTRADA BUCOLIA DI SOTTO,20,A,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.251427,39.004828,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2897128,38.9885369,3772.1,40,1 same-street anchor(s) share civic number 20.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2897128,38.9885369,manual_review_ready,access_id:3528313,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
36,3527325,CONTRADA ACQUADAUZANO,375,,needs_manual_coordinate_review,suspect_coordinate_present_in_original_anncsu_raw,manual_coordinate_review_before_geometry,16.3049541,38.9870505,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.305187,38.9865702,57.1,75,1 same-street anchor(s) share civic number 375.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.305187,38.9865702,manual_review_ready,access_id:3527325,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
37,3526015,CONTRADA ANNUNZIATA,105,,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed,16.3030348,38.9905196,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3007554,38.9827821,882.6,37,Interpolated civic 105 between same-street anchors 103 and 109.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3007554,38.9827821,manual_review_ready,access_id:3526015,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
38,3514824,CONTRADA AGLI,18,,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,boundary_check_then_external_geocode_if_needed,16.3030348,38.9905196,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3454583,38.9755658,4026.3,14,Interpolated civic 18 between same-street anchors 17 and 19.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3454583,38.9755658,manual_review_ready,access_id:3514824,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
39,3538433,VIA DEL PROGRESSO,73,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.318104,38.972118,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3251635,38.964755,1021.2,499,Interpolated civic 73 between same-street anchors 72 and 74.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3251635,38.964755,manual_review_ready,access_id:3538433,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
40,3536139,VIA DEL PROGRESSO,582,2,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3330573,38.926976,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3324534,38.9461918,2137.3,499,Interpolated civic 582 between same-street anchors 581 and 583.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3324534,38.9461918,manual_review_ready,access_id:3536139,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
41,3536113,VIA DEL PROGRESSO,610,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3338241,38.9240589,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3249215,38.9601771,4089.3,499,Interpolated civic 610 between same-street anchors 609 and 611.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3249215,38.9601771,manual_review_ready,access_id:3536113,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
42,3520440,VIA DEI BIZANTINI,181,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2896293,38.9641287,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3007499,38.948848,1952.4,357,Interpolated civic 181 between same-street anchors 180 and 183.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3007499,38.948848,manual_review_ready,access_id:3520440,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
43,3553301,VIA DEI BIZANTINI,57,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2768912,38.9549174,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3013435,38.9554939,2115.3,357,Interpolated civic 57 between same-street anchors 56 and 58.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3013435,38.9554939,manual_review_ready,access_id:3553301,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
44,3520410,VIA DEI BIZANTINI,131,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2679017,38.9617222,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.3035439,38.9529847,3231.4,357,Interpolated civic 131 between same-street anchors 130 and 132.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3035439,38.9529847,manual_review_ready,access_id:3520410,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
45,3535167,VIA ACQUAFREDDA,82,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2803995,38.9456439,candidate_requires_human_review,same_street_civic_number_interpolation,medium,16.2996872,38.961908,2460.1,273,Interpolated civic 82 between same-street anchors 81 and 83.,no_candidate_returned,nominatim,,all_variants,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2996872,38.961908,manual_review_ready,access_id:3535167,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
