access_id,odonimo_raw,civico,esponente,coordinate_quality_flag,raw_found,extract_found,processed_found,raw_coord_x,raw_coord_y,extract_coord_x,extract_coord_y,processed_coord_x,processed_coord_y,raw_extract_coordinate_match,extract_processed_coordinate_match,raw_extract_address_match,extract_processed_address_match,same_exact_coordinate_group_size,same_exact_coordinate_distinct_streets,same_exact_coordinate_streets_sample,source_diagnosis,recovery_action
3528302,CONTRADA BUCOLIA DI SOTTO,56,,same_street_outlier,true,true,true,"16,3198425","38,9806635","16,3198425","38,9806635","16,3198425","38,9806635",true,true,true,true,2,2,CONTRADA BUCOLIA DI SOTTO; CONTRADA CAPITOLO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3579202,CONTRADA CANTARELLE,130,,same_street_outlier,true,true,true,"16,25283","39,007795","16,25283","39,007795","16,25283","39,007795",true,true,true,true,2,2,CONTRADA BUCOLIA DI SOTTO; CONTRADA CANTARELLE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3579209,CONTRADA CANTARELLE,83,,same_street_outlier,true,true,true,"16,2592875","38,9719052","16,2592875","38,9719052","16,2592875","38,9719052",true,true,true,true,2,2,CONTRADA CANTARELLE; CONTRADA CARONTE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3532859,CONTRADA CARONTE,35,,same_street_outlier,true,true,true,"16,2591321","38,9760236","16,2591321","38,9760236","16,2591321","38,9760236",true,true,true,true,2,2,CONTRADA CANTARELLE; CONTRADA CARONTE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3517116,CONTRADA CARRA' VOLPE,68,1,same_street_outlier,true,true,true,"16,3277774","38,9478703","16,3277774","38,9478703","16,3277774","38,9478703",true,true,true,true,1,1,CONTRADA CARRA' VOLPE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3517115,CONTRADA CARRA' VOLPE,70,,same_street_outlier,true,true,true,"16,2915104","38,9390382","16,2915104","38,9390382","16,2915104","38,9390382",true,true,true,true,1,1,CONTRADA CARRA' VOLPE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3515055,CONTRADA CARRA' VOLPE,81,B,same_street_outlier,true,true,true,"16,2500567","38,8753757","16,2500567","38,8753757","16,2500567","38,8753757",true,true,true,true,2,2,CONTRADA CARRA' VOLPE; CONTRADA FICARELLA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3520173,CONTRADA CASTURI,3,,same_street_outlier,true,true,true,"16,2493873","38,8752814","16,2493873","38,8752814","16,2493873","38,8752814",true,true,true,true,2,2,CONTRADA CASTURI; CONTRADA FICARELLA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3523736,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,true,true,true,"16,3312092","38,9711303","16,3312092","38,9711303","16,3312092","38,9711303",true,true,true,true,2,2,CONTRADA CROZZANO INFERIORE; CONTRADA GACCIA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3523735,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,true,true,true,"16,3245016","38,9828973","16,3245016","38,9828973","16,3245016","38,9828973",true,true,true,true,2,2,CONTRADA CROZZANO INFERIORE; CONTRADA GUERRIERI SERRA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3530600,CONTRADA CROZZANO SUPERIORE,9,,same_street_outlier,true,true,true,"16,245585","39,0134166","16,245585","39,0134166","16,245585","39,0134166",true,true,true,true,2,2,CONTRADA CROZZANO SUPERIORE; CONTRADA GUERRIERI SERRA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3530601,CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,true,true,true,"16,2477534","39,011431","16,2477534","39,011431","16,2477534","39,011431",true,true,true,true,2,2,CONTRADA CROZZANO SUPERIORE; CONTRADA GUERRIERI SERRA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3523690,CONTRADA FICARELLA,16,,same_street_outlier,true,true,true,"16,2748847","38,9846816","16,2748847","38,9846816","16,2748847","38,9846816",true,true,true,true,2,2,CONTRADA FICARELLA; CONTRADA MATACCA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3523695,CONTRADA FICARELLA,36,,same_street_outlier,true,true,true,"16,2541053","39,0015425","16,2541053","39,0015425","16,2541053","39,0015425",true,true,true,true,2,2,CONTRADA FICARELLA; CONTRADA MIGLIERINA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3519818,CONTRADA GABELLA,131,,same_street_outlier,true,true,true,"16,2863236","38,982073","16,2863236","38,982073","16,2863236","38,982073",true,true,true,true,1,1,CONTRADA GABELLA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3519781,CONTRADA GABELLA,290,,same_street_outlier,true,true,true,"16,2961929","38,982958","16,2961929","38,982958","16,2961929","38,982958",true,true,true,true,2,2,CONTRADA GABELLA; CONTRADA PIANO LUPPINO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3519783,CONTRADA GABELLA,301,,same_street_outlier,true,true,true,"16,2932086","38,9828011","16,2932086","38,9828011","16,2932086","38,9828011",true,true,true,true,2,2,CONTRADA GABELLA; CONTRADA PIANO LUPPINO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3519786,CONTRADA GABELLA,303,,same_street_outlier,true,true,true,"16,2949727","38,9851065","16,2949727","38,9851065","16,2949727","38,9851065",true,true,true,true,2,2,CONTRADA GABELLA; CONTRADA PIANO LUPPINO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3519808,CONTRADA GABELLA,45,,same_street_outlier,true,true,true,"16,2455054","38,9976349","16,2455054","38,9976349","16,2455054","38,9976349",true,true,true,true,2,2,CONTRADA GABELLA; CONTRADA MITOIO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3528227,CONTRADA GACCIA,9,,same_street_outlier,true,true,true,"16,306086","38,9725144","16,306086","38,9725144","16,306086","38,9725144",true,true,true,true,2,2,CONTRADA GACCIA; CONTRADA ROMEO SALADINI,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3539275,CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,true,true,true,"16,2477534","39,011431","16,2477534","39,011431","16,2477534","39,011431",true,true,true,true,2,2,CONTRADA CROZZANO SUPERIORE; CONTRADA GUERRIERI SERRA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
