review_rank,review_batch_id,review_priority_band,candidate_review_status,access_id,street,civico,esponente,coordinate_quality_flag,coordinate_suspect_reason,source_lon,source_lat,candidate_lon,candidate_lat,candidate_method,candidate_confidence,candidate_status,distance_from_source_m,anchor_count,numeric_anchor_count,nearest_anchor_distance_m,lower_anchor_access_id,lower_anchor_civic,upper_anchor_access_id,upper_anchor_civic,nearest_anchor_access_id,nearest_anchor_civic,external_geocoder_candidate_count,candidate_explanation,suggested_workbench_filter,recommended_review_action,notes
25,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3522563,VIA ALBERT EINSTEIN,1,A,same_street_outlier,nearest same-street civic is 1727.3 m away; progressive civic-number neighbour is 1751.2 m away,16.3277317,38.9578573,16.3184014,38.9718406,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,1751.7,11,11,1729.0,,,,,3522569,4,0,6 same-street anchor(s) share civic number 1.,access_id:3522563,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
26,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3517629,VIA CASTEL FIDARDO,7,B,same_street_outlier,nearest same-street civic is 777.5 m away; point is near validated ANNCSU civics labelled VIA DEI BIZANTINI (16 of nearby context within 120 m); progressive civic-number neighbour is 3651.7 m away,16.2990412,38.9463393,16.3177584,38.9758179,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,3655.6,8,8,778.1,,,,,3517626,18,0,1 same-street anchor(s) share civic number 7.,access_id:3517629,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
27,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3531953,VIA ANTONIO DE CURTIS,1,B,same_street_outlier,3542.3 m from same-street cluster centroid; nearest same-street civic is 3894.3 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 4006.1 m away,16.3114486,38.9602113,16.3467277,38.9835518,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,4004.7,8,8,3892.9,,,,,3531958,6,0,4 same-street anchor(s) share civic number 1.,access_id:3531953,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
28,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3537740,VIA MONTELLO,1,A,same_street_outlier,5602.9 m from same-street cluster centroid; nearest same-street civic is 6314.5 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 6355.6 m away,16.2527906,38.9204465,16.3002822,38.96423,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,6369.6,7,7,6315.6,,,,,3537736,13,0,2 same-street anchor(s) share civic number 1.,access_id:3537740,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
29,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3517116,CONTRADA CARRA' VOLPE,68,1,same_street_outlier,nearest same-street civic is 3292.7 m away; progressive civic-number neighbour is 3633.6 m away,16.3277774,38.9478703,16.2414247,38.9856835,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,8568.2,5,5,3640.3,,,,,3515056,13,0,2 same-street anchor(s) share civic number 68.,access_id:3517116,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
30,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3528451,VIA INGEGNERE GIUSEPPE D'AUDINO,1,A,same_street_outlier,5900.4 m from same-street cluster centroid; nearest same-street civic is 7356.4 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 7374.5 m away,16.2566513,38.919359,16.3072167,38.972798,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,7377.8,4,4,7359.6,,,,,3528450,16,0,1 same-street anchor(s) share civic number 1.,access_id:3528451,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
31,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3517041,LOCALITA' CAFARELLO,6,A,same_street_outlier,3508.3 m from same-street cluster centroid; nearest same-street civic is 4294.7 m away,16.3183384,38.9746517,16.2731411,38.9931342,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,4414.2,3,3,4414.2,,,,,3517040,6,0,1 same-street anchor(s) share civic number 6.,access_id:3517041,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
32,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3531928,VIA DEL PROGRESSO,533,,street_context_mismatch,point is near validated ANNCSU civics labelled VIA DEL MARE (12 of nearby context within 120 m),16.280143,38.9615629,16.3310609,38.947558,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,4670.2,499,499,246.9,,,,,3531881,377,0,1 same-street anchor(s) share civic number 533.,access_id:3531928,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
33,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3522438,VIA GIOACCHINO MURAT,111,,street_context_mismatch,point is near validated ANNCSU civics labelled VIA DEGLI SVEVI (6 of nearby context within 120 m),16.3244874,38.9456708,16.3233014,38.9445329,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,162.9,125,125,128.1,,,,,3522349,109,0,1 same-street anchor(s) share civic number 111.,access_id:3522438,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
34,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3512013,VIA AURELIO CASSIODORO,14,,street_context_mismatch,point is near validated ANNCSU civics labelled VIA AFRICA (21 of nearby context within 120 m),16.3377493,38.9505043,16.3063225,38.9533279,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,2735.7,42,42,287.5,,,,,3512026,4,0,1 same-street anchor(s) share civic number 14.,access_id:3512013,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
35,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3528313,CONTRADA BUCOLIA DI SOTTO,20,A,street_context_mismatch,point is near validated ANNCSU civics labelled CONTRADA CANTARELLE (11 of nearby context within 120 m),16.251427,39.004828,16.2897128,38.9885369,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,3772.1,40,40,163.7,,,,,3528326,8,0,1 same-street anchor(s) share civic number 20.,access_id:3528313,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
36,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3527325,CONTRADA ACQUADAUZANO,375,,needs_manual_coordinate_review,rare census-cell placement for same-street civics,16.3049541,38.9870505,16.305187,38.9865702,same_street_same_civic_number_anchor,medium,candidate_requires_human_review,57.1,75,75,57.1,,,,,3527324,375,0,1 same-street anchor(s) share civic number 375.,access_id:3527325,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
37,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3526015,CONTRADA ANNUNZIATA,105,,outside_boundary,outside municipal boundary candidate by 146.0 m; progressive civic-number neighbour is 877.0 m away,16.3030348,38.9905196,16.3007554,38.9827821,same_street_civic_number_interpolation,medium,candidate_requires_human_review,882.6,37,37,419.9,3526014,103,3525990,109,3526024,30,0,Interpolated civic 105 between same-street anchors 103 and 109.,access_id:3526015,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
38,anncsu_coordinate_review_batch_1_2025,batch_1,ready_for_manual_review,3514824,CONTRADA AGLI,18,,outside_boundary,outside municipal boundary candidate by 146.0 m; 3559.2 m from same-street cluster centroid; nearest same-street civic is 808.2 m away; progressive civic-number neighbour is 4032.2 m away,16.3030348,38.9905196,16.3454583,38.9755658,same_street_civic_number_interpolation,medium,candidate_requires_human_review,4026.3,14,14,3956.9,3514819,17,3514827,19,3514833,8,0,Interpolated civic 18 between same-street anchors 17 and 19.,access_id:3514824,"Open this access_id in the workbench; accept as manual_coordinate_override only after checking ANNCSU label, street-register evidence, and local context.",Batching does not apply coordinates. Export JSON decisions and run the coordinate-decision audit before recovery-layer use.
