review_rank,access_id,address_label,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,candidate_lon,candidate_lat,candidate_source,candidate_method,candidate_confidence,movement_from_source_m,evidence_agreement,review_track,workbench_filter,worksheet_reviewer_action,review_status,required_reviewer_fields,acceptance_rule,post_review_command
22,3539275,CONTRADA GUERRIERI SERRA 131 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477534,39.011431,16.3041626,38.9828162,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5821.3,local_anchor_only,review_medium_local_anchor,access_id:3539275,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
23,3529063,VIA UMBERTO I 8 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477019,38.9227386,16.2838253,38.9660319,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5738.8,local_anchor_only,review_medium_local_anchor,access_id:3529063,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
24,3525975,CONTRADA VALLE RICCIARDI INFERIORE 40 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3194083,38.9751664,16.2399503,39.0053859,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,7645.3,local_anchor_only,review_medium_local_anchor,access_id:3525975,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
25,3522563,VIA ALBERT EINSTEIN 1 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3277317,38.9578573,16.3184014,38.9718406,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1751.7,local_geocoder_conflict_over_500m,review_medium_local_anchor,access_id:3522563,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
26,3517629,VIA CASTEL FIDARDO 7 B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2990412,38.9463393,16.3177584,38.9758179,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,3655.6,local_anchor_only,review_medium_local_anchor,access_id:3517629,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
27,3531953,VIA ANTONIO DE CURTIS 1 B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3114486,38.9602113,16.3467277,38.9835518,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4004.7,local_geocoder_conflict_over_500m,review_medium_local_anchor,access_id:3531953,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
28,3537740,VIA MONTELLO 1 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2527906,38.9204465,16.3002822,38.96423,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,6369.6,local_anchor_only,review_medium_local_anchor,access_id:3537740,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
29,3517116,CONTRADA CARRA' VOLPE 68 1,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3277774,38.9478703,16.2414247,38.9856835,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,8568.2,local_anchor_only,review_medium_local_anchor,access_id:3517116,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
30,3528451,VIA INGEGNERE GIUSEPPE D'AUDINO 1 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2566513,38.919359,16.3072167,38.972798,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,7377.8,local_anchor_only,review_medium_local_anchor,access_id:3528451,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
31,3517041,LOCALITA' CAFARELLO 6 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3183384,38.9746517,16.2731411,38.9931342,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4414.2,local_anchor_only,review_medium_local_anchor,access_id:3517041,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
