election_id,round,section_number,list_number,votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,6,13,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,6,14,17,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,1,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,2,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,3,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,4,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,5,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,6,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,7,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,8,3,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,9,20,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,10,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,11,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,12,23,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,13,13,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,7,14,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,1,57,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,2,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,3,41,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,4,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,5,15,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,6,41,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,7,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,8,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,9,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,10,40,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,11,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,12,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,8,13,15,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,
