election_id,round,section_number,registered_voters,voters,valid_votes,blank_ballots,null_ballots,contested_ballots,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,68,860,582,571,2,9,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,69,936,640,619,0,18,3,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,70,864,635,618,0,17,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,71,1165,779,765,1,13,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,72,882,635,629,2,4,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,73,967,684,672,0,10,2,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,74,829,590,560,3,27,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,75,1045,677,645,3,29,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,76,1149,801,786,3,12,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,77,1214,857,837,2,18,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,78,0,16,15,0,1,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
