election_id,section_number,list_number,council_candidate_number,preference_votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,4,1,7,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,8,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,9,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,10,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,11,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,13,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,14,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,15,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,17,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,18,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,20,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,22,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,23,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,4,1,24,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,2,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,3,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,7,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,8,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
