street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
CONTRADA COLLA,C.DA COLLA,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CORONA,C.DA CORONA,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA COSCHINO,C.DA COSCHINO,1,25,CONTRADA COSCHINO,CONTRADA COSCHINO,1246212,0,matched,normalized_exact,high,
CONTRADA CROCCHIA,C.DA CROCCHIA,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CROZZANELLO,C.DA CROZZANELLO,1,44,CONTRADA CROZZANELLO,CONTRADA CROZZANELLO,1245195,0,matched,normalized_exact,high,
CONTRADA CROZZANO SUPERIORE E INFERIORE,C.DA CROZZANO SUPERIORE E INFERIORE,1,44,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CRUPIO,C.DA CRUPIO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA CUTURA,C.DA CUTURA,1,77,CONTRADA CUTURA,CONTRADA CUTURA,1245202,1,matched,normalized_exact,high,
CONTRADA CUTURELLA,C.DA CUTURELLA,1,77,CONTRADA CUTURELLA,CONTRADA CUTURELLA,1245204,1,matched,normalized_exact,high,
CONTRADA D AUDINO,C.DA D'AUDINO,1,35,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA DANIELE,C.DA DANIELE,1,52,CONTRADA DANIELE,CONTRADA DANIELE,1245207,0,matched,normalized_exact,high,
CONTRADA DONNAMAZZA,C.DA DONNAMAZZA,1,59,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA DONNASANTA,C.DA DONNASANTA,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA DROGO,C.DA DROGO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA E LOCALITAFERRANTAZZO,C.DA E LOC.FERRANTAZZO,1,58,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA E RIONE TERRAVECCHIA,C.DA E RIONE TERRAVECCHIA,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA E VIA ACQUAFREDDA,C.DA E VIA ACQUAFREDDA,1,49,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA FAMULARO,C.DA FAMULARO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA FELICETTA,C.DA FELICETTA,1,32,CONTRADA FELICETTA,CONTRADA FELICETTA,1245312,7,matched,normalized_exact,high,
CONTRADA FEUDO DE MEDICI,C.DA FEUDO DE MEDICI,1,35,CONTRADA FEUDO DE MEDICI,CONTRADA FEUDO DE MEDICI,1246248,0,matched,normalized_exact,high,
CONTRADA FEUDO NICOTERA,C.DA FEUDO NICOTERA,1,35,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA FONTANELLA,C.DA FONTANELLA,1,26,CONTRADA FONTANELLA,CONTRADA FONTANELLA,1245334,6,matched,normalized_exact,high,
CONTRADA FORESTA,C.DA FORESTA,1,28,CONTRADA FORESTA,CONTRADA FORESTA,1245336,1,matched,normalized_exact,high,
CONTRADA FOSSE NICOTERA,C.DA FOSSE NICOTERA,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA FRASSO BRAGO,C.DA FRASSO BRAGO',1,65,CONTRADA FRASSO BRAGO,CONTRADA FRASSO BRAGO,1246244,0,matched,normalized_exact,high,
CONTRADA GABELLA,C.DA GABELLA,2,29; 45,CONTRADA GABELLA,CONTRADA GABELLA,1245364,89,matched,normalized_exact,high,
CONTRADA GABELLA CARDOLO,C.DA GABELLA CARDOLO,1,29,CONTRADA GABELLA CARDOLO,CONTRADA GABELLA CARDOLO,1245365,5,matched,normalized_exact,high,
CONTRADA GABELLA NICOTERA,C.DA GABELLA NICOTERA,1,66,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA GABELLA VITALE,C.DA GABELLA VITALE,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA GACCIA,C.DA GACCIA,1,66,CONTRADA GACCIA,CONTRADA GACCIA,1245368,25,matched,normalized_exact,high,
CONTRADA GALASSIO,C.DA GALASSIO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA GIABBA,C.DA GIABBA,1,28,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA GUERRIERI,C.DA GUERRIERI,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA GUERRIERI SERRA,C.DA GUERRIERI SERRA,1,24,CONTRADA GUERRIERI SERRA,CONTRADA GUERRIERI SERRA,1245458,22,matched,normalized_exact,high,
CONTRADA IACINO,C.DA IACINO,1,52,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA IUNCARACE,C.DA IUNCARACE,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA LAGANI,C.DA LAGANI,1,67,CONTRADA LAGANI,CONTRADA LAGANI,1245564,11,matched,normalized_exact,high,
CONTRADA LENTI STATTI,C.DA LENTI STATTI,1,65,CONTRADA LENTI STATTI,CONTRADA LENTI STATTI,1245569,0,matched,normalized_exact,high,
CONTRADA LENZA,C.DA LENZA,1,52,CONTRADA LENZA,CONTRADA LENZA,1245570,0,matched,normalized_exact,high,
CONTRADA MACERA,C.DA MACERA,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MADDAMMA,C.DA MADDAMMA,1,77,CONTRADA MADDAMMA,CONTRADA MADDAMMA,1246252,0,matched,normalized_exact,high,
CONTRADA MAGOLA,C.DA MAGOLA',1,28,CONTRADA MAGOLA,CONTRADA MAGOLA',1245598,11,matched,normalized_exact,high,
CONTRADA MALASPINA,C.DA MALASPINA,1,67,CONTRADA MALASPINA,CONTRADA MALASPINA,1245600,0,matched,normalized_exact,high,
CONTRADA MANISTALLA,C.DA MANISTALLA,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MARCHIONE,C.DA MARCHIONE,1,29,CONTRADA MARCHIONE,CONTRADA MARCHIONE,1245609,0,matched,normalized_exact,high,
CONTRADA MARGI,C.DA MARGI,1,52,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MARRANO,C.DA MARRANO,1,44,CONTRADA MARRANO,CONTRADA MARRANO,1245614,10,matched,normalized_exact,high,
CONTRADA MARUCA,C.DA MARUCA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MARZOMIGLIO,C.DA MARZOMIGLIO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MASTROBRUNO,CONTRADA MASTROBRUNO,1,52,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MATACCA,C.DA MATACCA,1,45,CONTRADA MATACCA,CONTRADA MATACCA,1245625,8,matched,normalized_exact,high,
CONTRADA MAZZEO,C.DA MAZZEO,1,71,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MIGLIERINA,C.DA MIGLIERINA,1,48,CONTRADA MIGLIERINA,CONTRADA MIGLIERINA,1245642,9,matched,normalized_exact,high,
CONTRADA MILETO,C.DA MILETO,1,52,CONTRADA MILETO,CONTRADA MILETO,1246219,1,matched,normalized_exact,high,
CONTRADA MISA,C.DA MISA',1,66,CONTRADA MISA,CONTRADA MISA',1245648,16,matched,normalized_exact,high,
CONTRADA MISIANO,C.DA MISIANO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MITOIO,C.DA MITOIO,1,49,CONTRADA MITOIO,CONTRADA MITOIO,1245649,29,matched,normalized_exact,high,
CONTRADA MONACHELLE,C.DA MONACHELLE,1,58,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MONACI,C.DA MONACI,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MONTAGNOLA,C.DA MONTAGNOLA,1,30,CONTRADA MONTAGNOLA,CONTRADA MONTAGNOLA,1245659,2,matched,normalized_exact,high,
CONTRADA MONTEROSSO,C.DA MONTEROSSO,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MONTESANTI,C.DA MONTESANTI,1,52,CONTRADA MONTESANTI,CONTRADA MONTESANTI,1245678,0,matched,normalized_exact,high,
CONTRADA MUNISATTI,C.DA MUNISATTI,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MUNIZZA,C.DA MUNIZZA,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA MURETTO,C.DA MURETTO,1,44,CONTRADA MURETTO,CONTRADA MURETTO,1245682,14,matched,normalized_exact,high,
CONTRADA MUZIO,C.DA MUZIO,1,65,CONTRADA MUZIO,CONTRADA MUZIO,1245684,3,matched,normalized_exact,high,
CONTRADA NARDELLI,C.DA NARDELLI,1,30,CONTRADA NARDELLI,CONTRADA NARDELLI,1246253,2,matched,normalized_exact,high,
CONTRADA NDINI,C.DA NDINI,1,67,CONTRADA NDINI,CONTRADA NDINI,1246250,0,matched,normalized_exact,high,
CONTRADA NICOTERA,C.DA NICOTERA,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA NOCE,C.DA NOCE,1,20,CONTRADA NOCE,CONTRADA NOCE,1245699,4,matched,normalized_exact,high,
CONTRADA OPPOLESE,C.DA OPPOLESE,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA OSPEDALE,C.DA OSPEDALE,1,41,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PACE,C.DA PACE,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PALADINA,C.DA PALADINA,1,35,CONTRADA PALADINA,CONTRADA PALADINA,1246211,1,matched,normalized_exact,high,
CONTRADA PALAZZO,C.DA PALAZZO,1,52,CONTRADA PALAZZO,CONTRADA PALAZZO,1245716,4,matched,normalized_exact,high,
CONTRADA PALMIERI,C.DA PALMIERI,1,24,CONTRADA PALMIERI,CONTRADA PALMIERI,1245719,2,matched,normalized_exact,high,
CONTRADA PANE,C.DA PANE,1,65,CONTRADA PANE,CONTRADA PANE,1245723,0,matched,normalized_exact,high,
CONTRADA PAPAZZO,C.DA PAPAZZO,1,70,CONTRADA PAPAZZO,CONTRADA PAPAZZO,1245728,14,matched,normalized_exact,high,
CONTRADA PASTORIZIA,C.DA PASTORIZIA,1,52,CONTRADA PASTORIZIA,CONTRADA PASTORIZIA,1246187,0,matched,normalized_exact,high,
CONTRADA PERITO,C.DA PERITO,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PERNAZZO,C.DA PERNAZZO,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PETRAPPA,C.DA PETRAPPA,1,67,CONTRADA PETRAPPA,CONTRADA PETRAPPA,1245739,0,matched,normalized_exact,high,
CONTRADA PIANO DEL DUCA,C.DA PIANO DEL DUCA,1,67,CONTRADA PIANO DEL DUCA,CONTRADA PIANO DEL DUCA,1245741,0,matched,normalized_exact,high,
CONTRADA PIANO LUPPINO,C.DA PIANO LUPPINO,1,44,CONTRADA PIANO LUPPINO,CONTRADA PIANO LUPPINO,1245743,33,matched,normalized_exact,high,
CONTRADA PICERNO,C.DA PICERNO,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PIGNA MAZZEI,C.DA PIGNA MAZZEI,1,50,CONTRADA PIGNA MAZZEI,CONTRADA PIGNA MAZZEI,1246215,6,matched,normalized_exact,high,
CONTRADA PILLI,C.DA PILLI,2,72; 74,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PILLI CALIGIURI,C.DA PILLI CALIGIURI,1,62,CONTRADA PILLI CALIGIURI,CONTRADA PILLI CALIGIURI,1246188,6,matched,normalized_exact,high,
CONTRADA PILLI CAPIZZAGLIE,C.DA PILLI CAPIZZAGLIE,1,71,CONTRADA PILLI CAPIZZAGLIE,CONTRADA PILLI CAPIZZAGLIE,1245756,5,matched,normalized_exact,high,
CONTRADA PILLI COOPERATIVA ASTRA,C.DA PILLI COOPERATIVA ASTRA,1,74,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PILLI COOPERATIVE,C.DA PILLI COOPERATIVE,1,72,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PILLI FRANCICA,C.DA PILLI FRANCICA,1,72,CONTRADA PILLI FRANCICA,CONTRADA PILLI FRANCICA,1246155,0,matched,normalized_exact,high,
CONTRADA PIOMBO,C.DA PIOMBO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PIRAINO,C.DA PIRAINO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PITTACROPIO,C.DA PITTACROPIO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PROCESSIONE STOCCO,C.DA PROCESSIONE STOCCO,1,60,CONTRADA PROCESSIONE STOCCO,CONTRADA PROCESSIONE STOCCO,1245779,7,matched,normalized_exact,high,
CONTRADA PUCCIO,C.DA PUCCIO,1,35,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PUGLIANO,C.DA PUGLIANO,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA PUPONE,C.DA PUPONE,1,73,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA QUADRATI,C.DA QUADRATI,1,52,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA QUATTROCCHI,C.DA QUATTROCCHI,1,29,CONTRADA QUATTROCCHI,CONTRADA QUATTROCCHI,1245788,27,matched,normalized_exact,high,
CONTRADA RENDA,C.DA RENDA,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA RICHETTI,C.DA RICHETTI,1,29,CONTRADA RICHETTI,CONTRADA RICHETTI,1245801,2,matched,normalized_exact,high,
CONTRADA RIFORMA CALVARIO,C.DA RIFORMA CALVARIO,1,25,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA RITO,C.DA RITO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA ROMEO,C.DA ROMEO,1,24,CONTRADA ROMEO,CONTRADA ROMEO,1245813,0,matched,normalized_exact,high,
CONTRADA ROMEO SALADINI,C.DA ROMEO SALADINI,1,24,CONTRADA ROMEO SALADINI,CONTRADA ROMEO SALADINI,1246162,2,matched,normalized_exact,high,
CONTRADA ROTOLI,C.DA ROTOLI,1,52,CONTRADA ROTOLI,CONTRADA ROTOLI,1245815,0,matched,normalized_exact,high,
CONTRADA S ERMIA,C.DA S. ERMIA,1,51,CONTRADA SANT ERMIA,CONTRADA SANT'ERMIA,1245892,14,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
CONTRADA S GIULIANO,C.DA S. GIULIANO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA S IANNI,C.DA S. IANNI,1,27,CONTRADA SAN IANNI,CONTRADA SAN IANNI,1246259,0,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
CONTRADA S MARIA,C.DA S. MARIA,1,44,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA S MINA SUPERIORE E INFERIORE,C.DA S. MINA' SUPERIORE E INFERIORE,1,51,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA S NICOLA,C.DA S. NICOLA,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA S PIETRO,C.DA S. PIETRO,1,50,LOCALITA SAN PIETRO,LOCALITA' SAN PIETRO,1245856,0,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
CONTRADA S VENERE,C.DA S. VENERE,1,50,CONTRADA SANTA VENERE,CONTRADA SANTA VENERE,1245887,33,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
CONTRADA SACCO,C.DA SACCO,1,65,CONTRADA SACCO,CONTRADA SACCO,1245819,0,matched,normalized_exact,high,
CONTRADA SACRESTIA,C.DA SACRESTIA,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SAMONTE,C.DA SAMONTE,1,70,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SAN SIDERO,C.DA SAN SIDERO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SAVUTANO,C.DA SAVUTANO,1,76,CONTRADA SAVUTANO,CONTRADA SAVUTANO,1245904,0,matched,normalized_exact,high,
CONTRADA SCHIENO VIESTE,C.DA SCHIENO VIESTE,1,47,CONTRADA SCHIENO VIESTE,CONTRADA SCHIENO VIESTE,1245913,5,matched,normalized_exact,high,
CONTRADA SCHIPANI,C.DA SCHIPANI,1,58,CONTRADA SCHIPANI,CONTRADA SCHIPANI,1245914,5,matched,normalized_exact,high,
CONTRADA SCINA,C.DA SCINA',2,68; 69,CONTRADA SCINA,CONTRADA SCINA',1245916,32,matched,normalized_exact,high,
CONTRADA SCINI,C.DA SCINI,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SCORDOVILLO,C.DA SCORDOVILLO,1,58,CONTRADA SCORDOVILLO,CONTRADA SCORDOVILLO,1245918,0,matched,normalized_exact,high,
CONTRADA SCROTONAGGI,C.DA SCROTONAGGI,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SERRA,C.DA SERRA,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SERRA CASTAGNA,C.DA SERRA CASTAGNA,1,47,CONTRADA SERRA CASTAGNA,CONTRADA SERRA CASTAGNA,1245926,22,matched,normalized_exact,high,
CONTRADA SERRA SALADINI,C.DA SERRA SALADINI,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SGARANO,C.DA SGARANO,1,25,CONTRADA SGARANO,CONTRADA SGARANO,1245928,29,matched,normalized_exact,high,
CONTRADA SOCCORSO,C.DA SOCCORSO,1,28,CONTRADA SOCCORSO,CONTRADA SOCCORSO,1245935,1,matched,normalized_exact,high,
CONTRADA SORBELLO,C.DA SORBELLO,1,51,CONTRADA SORBELLO,CONTRADA SORBELLO,1245937,14,matched,normalized_exact,high,
CONTRADA SPAGNUOLO,C.DA SPAGNUOLO,1,29,CONTRADA SPAGNUOLO,CONTRADA SPAGNUOLO,1245939,0,matched,normalized_exact,high,
CONTRADA SPANO,C.DA SPANO',1,73,CONTRADA SPANO,CONTRADA SPANO',1245940,9,matched,normalized_exact,high,
CONTRADA SPINETO,C.DA SPINETO,1,25,CONTRADA SPINETO,CONTRADA SPINETO,1245945,16,matched,normalized_exact,high,
CONTRADA STELLA,C.DA STELLA,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA STIGLIOLA,C.DA STIGLIOLA,1,65,CONTRADA STIGLIOLA,CONTRADA STIGLIOLA,1246185,0,matched,normalized_exact,high,
CONTRADA STRAZZAVESTE,C.DA STRAZZAVESTE,1,67,CONTRADA STRAZZAVESTE,CONTRADA STRAZZAVESTE,1245954,1,matched,normalized_exact,high,
CONTRADA STRETTO,C.DA STRETTO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA SUGHERO,C.DA SUGHERO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA TALARICO,C.DA TALARICO,1,67,CONTRADA TALARICO,CONTRADA TALARICO,1245957,0,matched,normalized_exact,high,
CONTRADA TELARA,C.DA TELARA,1,47,CONTRADA TELARA,CONTRADA TELARA,1245959,10,matched,normalized_exact,high,
CONTRADA TIMPEROSSE,C.DA TIMPEROSSE,1,67,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA TOCCI,C.DA TOCCI,1,30,CONTRADA TOCCI,CONTRADA TOCCI,1245971,3,matched,normalized_exact,high,
