street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
CONTRADA TORRICELLI,C.DA TORRICELLI,1,14,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA TRAZZA,C.DA TRAZZA,1,50,CONTRADA TRAZZA,CONTRADA TRAZZA,1246233,1,matched,normalized_exact,high,
CONTRADA VACCARO,C.DA VACCARO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VALLE MONACI,C.DA VALLE MONACI,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VALLERICCIARDI INFERIORE,C.DA VALLERICCIARDI INFERIORE,1,48,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VALLERICCIARDI SUPERIORE,C.DA VALLERICCIARDI SUPERIORE,1,47,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VECCHIO,C.DA VECCHIO,1,52,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VELATI RAMETTA,C.DA VELATI RAMETTA,1,25,CONTRADA VELATI RAMETTA,CONTRADA VELATI RAMETTA,1246214,8,matched,normalized_exact,high,
CONTRADA VERITA,C.DA VERITA',1,65,CONTRADA VERITA,CONTRADA VERITA',1246030,4,matched,normalized_exact,high,
CONTRADA VETRANA,C.DA VETRANA,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VISCARDI,C.DA VISCARDI,1,52,CONTRADA VISCARDI,CONTRADA VISCARDI,1246207,1,matched,normalized_exact,high,
CONTRADA VITUSELLA,C.DA VITUSELLA,1,62,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VOLPE,C.DA VOLPE,1,73,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA VONIO,C.DA VONIO,1,51,CONTRADA VONIO,CONTRADA VONIO,1246059,16,matched,normalized_exact,high,
CONTRADA ZAMBRO,C.DA ZAMBRO,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA ZAPPANOTTI,C.DA ZAPPANOTTI,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA ZINNAVO,C.DA ZINNAVO,1,50,CONTRADA ZINNAVO,CONTRADA ZINNAVO,1246076,2,matched,normalized_exact,high,
CONTRADA ZOCCA,C.DA ZOCCA,1,35,CONTRADA ZOCCA,CONTRADA ZOCCA,1246077,0,matched,normalized_exact,high,
CONTRADA ZUPELLO,C.DA ZUPELLO,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
