video_id,title,youtube_url,edition_year,event_date,duration,description,playlist,speakers_raw,moderator_raw,topics_raw,source_status,transcript_status,analysis_status,last_checked,known_limits,notes
MOPs2yb06LU,Trame 15 - Le mafie non giocano,https://www.youtube.com/watch?v=MOPs2yb06LU&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Le mafie non giocano; con Toni Mira e Andrea Giambartolomei (Lavialibera);,,Le mafie non giocano,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 09:00; matched_event=trame15_20260617_le-mafie-non-giocano; possible_scheduled_placeholder"
kaPx-VmQriw,Trame 15 - Etica aziendale: presidio di legalità e territorio libero dalle mafie,https://www.youtube.com/watch?v=kaPx-VmQriw&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Etica aziendale: presidio di legalità e territorio libero dalle mafie; con Pietro Falbo (Camera di Commercio CZ-KR-VV), Patrizia Di Dio (Confcommercio Imprese per l’Italia), Giuseppe Cotroneo (Confcommercio Lamezia Terme), Vincenzo Linarello (GOEL Gruppo Cooperativo, autore di ""manuale dell'etica efficace""), Daniele Gualtieri (CISL Magna Graecia) e Giuseppe Smorto (Repubblica);",,Etica aziendale: presidio di legalità e territorio libero dalle mafie,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 08:00; matched_event=trame15_20260617_etica-aziendale-presidio-di-legalita-e-territorio-libero-dalle-mafie; possible_scheduled_placeholder"
MFn_4gLZr14,Trame 15 - Ecomafie e verità sommerse,https://www.youtube.com/watch?v=MFn_4gLZr14&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Ecomafie e verità sommerse; con Stefano Ciafani (Legambiente) e Tommaso Panza (giornalista);;,,Ecomafie e verità sommerse,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 07:00; matched_event=trame15_20260617_ecomafie-e-verita-sommerse; possible_scheduled_placeholder"
epXGDJLovlQ,Trame 15 - Leoni di Sicilia,https://www.youtube.com/watch?v=epXGDJLovlQ&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Leoni di Sicilia; con Stefania Auci e Gaetano Savatteri (giornalista);,,Leoni di Sicilia,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 55 visualizzazioni | Trasmesso in streaming 2 giorni fa; matched_event=trame15_20260616_leoni-di-sicilia
q4gGF8rXO7E,Trame 15 - In memoria di Giovanna Casadio,https://www.youtube.com/watch?v=q4gGF8rXO7E&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),In memoria di Giovanna Casadio; Volontarə di redazione incontrano Ippolita Luzzo (Il Regno della Litweb) ; ;;,,In memoria di Giovanna Casadio,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 06:00; matched_event=trame15_20260617_in-memoria-di-giovanna-casadio; possible_scheduled_placeholder"
a-m_C9Z888E,Trame 15 - Fate i tuoni,https://www.youtube.com/watch?v=a-m_C9Z888E&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Fate i tuoni; uno spettacolo di Michele D’Ignazio; con Antonia Fama e Marco Zordan; regia di Marco Zordan; a cura di Compagnia Walden;,,Fate i tuoni,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 31 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_fate-i-tuoni
bfiUkrhdBbs,Famiglie che accolgono,https://www.youtube.com/watch?v=bfiUkrhdBbs&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Famiglie che accolgono; con Antonella Agnoli , i testimoni di Luna Rossa (SAI Minori Comunità Progetto Sud) e Maria Chiara Caruso (giornalista); Un saluto video del Cardinale Matteo Maria Zuppi;",,Famiglie che accolgono,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 37 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_famiglie-che-accolgono
qH1OCoKWh4g,Inaugurazione Festival Trame 15,https://www.youtube.com/watch?v=qH1OCoKWh4g&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Inaugurazione Festival; Saluti istituzionali; Parteciperà il presidente della Regione Calabria Roberto Occhiuto ; ;;,,Inaugurazione Festival,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 42 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_inaugurazione-festival
LuTMa5F9FJ0,Trame Podcast - Nuccio Iovene e Francesco Cefalà,https://www.youtube.com/watch?v=LuTMa5F9FJ0&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,Trame Podcast - Nuccio Iovene e Francesco Cefalà,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 36 visualizzazioni | 2 giorni fa; matched_event=none
aVmFKUtu7JQ,Trame 15 - DAY 1 | 16/06/2026,https://www.youtube.com/watch?v=aVmFKUtu7JQ&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,DAY 1 | 16/06/2026,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 39 visualizzazioni | 2 giorni fa; matched_event=none
xgbOzOBjAcM,"""Terra e Libertà"": Trame 15 dal 16 al 21 giugno 2026 a Lamezia Terme",https://www.youtube.com/watch?v=xgbOzOBjAcM&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,"""Terra e Libertà"": Trame 15 dal 16 al 21 giugno 2026 a Lamezia Terme",official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 74 visualizzazioni | 3 mesi fa; matched_event=none
