person_id,name,role_raw,affiliation_raw,speaker_type,events_count,verification_status,notes
person_judith-eisinger,Judith Eisinger,mafianeindanke,mafianeindanke,unknown,1,official_program_raw,Eventi: Il lato oscuro della Germania
person_lamberto-bertole,Lamberto Bertolè,"Assessore Welfare, Salute e Beni Confiscati Comune di Milano","Assessore Welfare, Salute e Beni Confiscati Comune di Milano",unknown,1,official_program_raw,Eventi: Mafia a Milano
person_libera-contro-le-mafie,Libera Contro le mafie,,,attivista,1,official_program_raw,Eventi: Le mafie non giocano
person_luca-bianch,Luca Bianch,,,unknown,1,official_program_raw,Eventi: Diario di cittadinanza
person_luca-tescaroli,Luca Tescaroli,Procuratore di Prato,Procuratore di Prato,magistrato,1,official_program_raw,Eventi: La mafia albanese alla conquista del mondo
person_lucia-castellano,Lucia Castellano,,,unknown,1,official_program_raw,Eventi: TRAME XL
person_marcello-ravveduto,Marcello Ravveduto,Università di Salerno,Università di Salerno,accademico,1,official_program_raw,Eventi: Rap e resistenza
person_marco-grasso,Marco Grasso,,,unknown,1,official_program_raw,Eventi: La nuova Tangentopoli
person_maria-chiara-caruso,Maria Chiara Caruso,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Famiglie che accolgono
person_maria-consuelo-hafiz,Maria Consuelo Hafiz,Università Magna Graecia di Catanzaro,Università Magna Graecia di Catanzaro,accademico,1,official_program_raw,Eventi: Abitiamo il lametino
person_maria-francesca-gentile,Maria Francesca Gentile,,,unknown,2,official_program_raw,Eventi: Sistemi digitali interconnessi come nuovo presidio di legalità | Il futuro che ci avevano promesso
person_maria-scaramuzzino,Maria Scaramuzzino,Gazzetta del sud,Gazzetta del sud,unknown,1,official_program_raw,Eventi: Eretici e disobbedienti
person_marina-galati,Marina Galati,Comunità Progetto Sud,Comunità Progetto Sud,unknown,1,official_program_raw,Eventi: Abitiamo il lametino
person_mario-di-vito,Mario Di Vito,,,unknown,1,official_program_raw,"Eventi: Neofascismo, attentato alla democrazia"
person_mario-murone,Mario Murone,sindaco di Lamezia Terme,sindaco di Lamezia Terme,rappresentante_istituzionale,1,official_program_raw,Eventi: Mettiamo il Bene in Comune
person_mario-portanova,Mario Portanova,,,unknown,1,official_program_raw,Eventi: Mafia a Milano
person_mario-spada,Mario Spada,,,unknown,1,official_program_raw,Eventi: Spina. Napoli 1996 - 2016
person_mario-vitale,Mario Vitale,,,unknown,1,official_program_raw,Eventi: Abitiamo il lametino
person_martina-pignatti-morano,Martina Pignatti Morano,Fondazione Finanza Etica,Fondazione Finanza Etica,unknown,1,official_program_raw,Eventi: Disarmare il presente
person_massimo-sirelli,Massimo Sirelli,artista,artista,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_mauro-minervino,Mauro Minervino,,,unknown,1,official_program_raw,Eventi: Storie Luoghi Anthropologie
person_michael-braun,Michael Braun,TAZ,TAZ,unknown,1,official_program_raw,Eventi: Il lato oscuro della Germania
person_michele-cortelazzo,Michele Cortelazzo,Accademia della Crusca,Accademia della Crusca,unknown,1,official_program_raw,Eventi: La linguistica per tutti
person_miguel-gotor,Miguel Gotor,,,unknown,1,official_program_raw,Eventi: Italia nel mirino
person_ministero-dellinterno-dipartimento-della-pubblica-sicurezza-e-la-presidenza-del-,Ministero dell’Interno Dipartimento della Pubblica Sicurezza e la Presidenza del Consiglio dei Ministri,,,unknown,1,official_program_raw,Eventi: Ragazzi d’altri tempi
person_murubutu,Murubutu,,,unknown,1,official_program_raw,Eventi: Rap e resistenza
person_nello-trocchia,Nello Trocchia,Domani,Domani,unknown,2,official_program_raw,Eventi: Abitiamo il lametino | La mafia albanese alla conquista del mondo
person_nicola-gratteri,Nicola Gratteri,,,unknown,1,official_program_raw,Eventi: Chi ostacola la giustizia
person_noemi-caputo,Noemi Caputo,CCO,CCO,unknown,1,official_program_raw,Eventi: Se dicessimo la verità
person_non-ce-turismo-senza-di-noi,Non c'è turismo senza di NOI,,,unknown,1,official_program_raw,Eventi: Trame OFF
person_nuccio-iovene,Nuccio Iovene,Fondazione Trame,Fondazione Trame,unknown,3,official_program_raw,"Eventi: Abitiamo il lametino | Crisi, guerre, giustizia. Le mafie nell’Italia 2026 | I misteri delle stragi. Mafie senza confini, beni senza padroni"
person_osario-rocca,osario Rocca,"insegnante, scrittore, ex sindaco","insegnante, scrittore, ex sindaco",rappresentante_istituzionale,1,official_program_raw,"Eventi: Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi"
person_pantaleone-sergi,Pantaleone Sergi,,,unknown,1,official_program_raw,Eventi: Quando il potere diventò regime
person_paolo-caputo,Paolo Caputo,Università della Calabria,Università della Calabria,accademico,1,official_program_raw,Eventi: Turismo e Capitale
person_patrizia-di-dio,Patrizia Di Dio,Confcommercio Imprese per l’Italia,Confcommercio Imprese per l’Italia,imprenditore,1,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie
person_patty-torchia,Patty Torchia ,Otto e mezzo,Otto e mezzo,unknown,2,official_program_raw,Eventi: Diario di cittadinanza | Italia nel mirino
person_pierdanilo-melandro,Pierdanilo Melandro,PagoPA S.p.a.,PagoPA S.p.a.,unknown,1,official_program_raw,Eventi: Sistemi digitali interconnessi come nuovo presidio di legalità
person_pierpaolo-romani,Pierpaolo Romani,coordinatore nazionale Avviso Pubblico,coordinatore nazionale Avviso Pubblico,unknown,1,official_program_raw,Eventi: Mettiamo il Bene in Comune
person_pietro-comito,Pietro Comito,,,unknown,1,official_program_raw,Eventi: L’infiltrato
person_pietro-falbo,Pietro Falbo,Camera di Commercio CZ-KR-VV,Camera di Commercio CZ-KR-VV,unknown,1,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie
person_pietro-grasso,Pietro Grasso,,,unknown,1,official_program_raw,Eventi: ‘U Maxi
person_premio-roberto-morrione-per-il-giornalismo-investigativo,Premio Roberto Morrione per il giornalismo investigativo,,,unknown,1,official_program_raw,Eventi: Le mafie che opprimono
person_raffaella-calandra,Raffaella Calandra,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Trame XL | TRAME XL
person_riccardo-bocca,Riccardo Bocca ,,,unknown,1,official_program_raw,Eventi: La donna che sfidò Cosa Nostra
person_roberto-occhiuto,Roberto Occhiuto ,,,unknown,1,official_program_raw,Eventi: Inaugurazione Festival
person_rocco-scicchitano,Rocco Scicchitano,UEPE Catanzaro,UEPE Catanzaro,unknown,1,official_program_raw,Eventi: TRAME XL
person_ruggero-scaturro,Ruggero Scaturro,GI-TOC,GI-TOC,unknown,1,official_program_raw,Eventi: Il lato oscuro della Germania
person_salvatore-curcio,Salvatore Curcio,Procuratore della Repubblica di Catanzaro,Procuratore della Repubblica di Catanzaro,giornalista,1,official_program_raw,Eventi: L’infiltrato
person_saverio-di-giorno,Saverio Di Giorno,,,unknown,1,official_program_raw,Eventi: Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita
person_simona-bruni,Simona Bruni,Museo Archeologico Lametino,Museo Archeologico Lametino,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_spi-cgil,Spi Cgil,,,unknown,1,official_program_raw,Eventi: Sindacato eversione neofascista relazioni criminali e terrore globale
person_stefania-auci,Stefania Auci,,,unknown,1,official_program_raw,Eventi: Leoni di Sicilia
person_stefania-mancuso,Stefania Mancuso,Università IULM,Università IULM,accademico,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
